Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-08 09:00:00+00:00,151.08,151.35,151.08,151.3,15255,453,151.251438
2021-11-08 09:05:00+00:00,151.28,151.3,151.24,151.24,1507,97,151.271507
2021-11-08 09:10:00+00:00,151.2,151.3,151.19,151.26,3217,156,151.232263
2021-11-08 09:15:00+00:00,151.26,151.26,151.25,151.25,3907,139,151.251758
2021-11-08 09:20:00+00:00,151.24,151.26,151.24,151.25,1557,61,151.247129
2021-11-08 09:30:00+00:00,151.2,151.2,151.2,151.2,1177,71,151.212914
2021-11-08 09:35:00+00:00,151.25,151.25,151.2,151.2,1973,51,151.219291
2021-11-08 09:40:00+00:00,151.15,151.15,151.15,151.15,870,41,151.154908
2021-11-08 09:45:00+00:00,151.12,151.12,151.1,151.1,2149,60,151.112312
2021-11-08 09:50:00+00:00,151.13,151.13,151.12,151.12,762,50,151.125866
2021-11-08 10:00:00+00:00,151.14,151.2,151.14,151.2,1715,60,151.16867
2021-11-08 10:05:00+00:00,151.21,151.21,151.21,151.21,484,18,151.210393
2021-11-08 10:15:00+00:00,151.27,151.34,151.27,151.34,3797,105,151.295162
2021-11-08 10:20:00+00:00,151.3,151.3,151.3,151.3,515,5,151.299573
2021-11-08 10:25:00+00:00,151.32,151.35,151.32,151.35,705,37,151.332766
2021-11-08 10:30:00+00:00,151.38,151.38,151.38,151.38,506,16,151.379704
2021-11-08 10:35:00+00:00,151.34,151.34,151.34,151.34,712,38,151.326011
2021-11-08 10:45:00+00:00,151.3,151.3,151.29,151.29,1685,58,151.294392
2021-11-08 10:55:00+00:00,151.28,151.28,151.28,151.28,224,9,151.28
2021-11-08 11:10:00+00:00,151.32,151.34,151.32,151.34,1045,31,151.329522
2021-11-08 11:15:00+00:00,151.33,151.33,151.33,151.33,370,16,151.330189
2021-11-08 11:20:00+00:00,151.36,151.36,151.35,151.35,746,24,151.354129
2021-11-08 11:30:00+00:00,151.35,151.35,151.35,151.35,1904,25,151.352075
2021-11-08 11:35:00+00:00,151.35,151.38,151.35,151.38,4801,87,151.373856
2021-11-08 11:40:00+00:00,151.4,151.55,151.3,151.55,5185,218,151.473068
2021-11-08 11:45:00+00:00,151.55,151.57,151.55,151.57,743,40,151.555814
2021-11-08 11:50:00+00:00,151.56,151.58,151.55,151.57,7911,158,151.565782
2021-11-08 12:00:00+00:00,151.47,151.47,151.28,151.4,10765,308,151.373822
2021-11-08 12:05:00+00:00,151.42,151.5,151.31,151.31,10319,181,151.382908
2021-11-08 12:10:00+00:00,151.31,151.36,151.31,151.36,12916,166,151.337756
2021-11-08 12:15:00+00:00,151.4,151.49,151.39,151.49,13333,201,151.437595
2021-11-08 12:20:00+00:00,151.49,151.63,151.49,151.56,8641,201,151.562324
2021-11-08 12:25:00+00:00,151.54,151.59,151.5,151.55,10833,178,151.534449
2021-11-08 12:30:00+00:00,151.55,151.59,151.55,151.55,4891,114,151.560728
2021-11-08 12:35:00+00:00,151.55,151.55,151.5,151.52,4309,169,151.519394
2021-11-08 12:40:00+00:00,151.52,151.52,151.43,151.45,8490,254,151.483142
2021-11-08 12:45:00+00:00,151.45,151.47,151.35,151.36,19712,296,151.398866
2021-11-08 12:50:00+00:00,151.36,151.36,151.31,151.33,8297,167,151.338926
2021-11-08 12:55:00+00:00,151.33,151.34,151.3,151.32,9023,143,151.31817
2021-11-08 13:00:00+00:00,151.3,151.35,150.902,151.35,14954,213,151.287691
2021-11-08 13:05:00+00:00,151.35,151.35,151.31,151.32,14055,224,151.331366
2021-11-08 13:10:00+00:00,151.34,151.35,151.31,151.31,5294,200,151.332325
2021-11-08 13:15:00+00:00,151.34,151.37,151.28,151.29,22806,334,151.320095
2021-11-08 13:20:00+00:00,151.29,151.35,151.28,151.33,9621,212,151.316417
2021-11-08 13:25:00+00:00,151.32,151.37,151.3,151.34,14670,195,151.341779
2021-11-08 13:30:00+00:00,151.35,151.36,151.26,151.26,18452,332,151.319522
2021-11-08 13:35:00+00:00,151.27,151.3,151.27,151.29,10537,253,151.278392
2021-11-08 13:40:00+00:00,151.28,151.28,151.21,151.25,21675,476,151.250942
2021-11-08 13:45:00+00:00,151.24,151.24,151.12,151.16,19819,464,151.176074
2021-11-08 13:50:00+00:00,151.18,151.19,151.17,151.17,9968,173,151.18589
2021-11-08 13:55:00+00:00,151.19,151.23,151.17,151.23,3337461,280,150.741427
2021-11-08 14:00:00+00:00,151.21,151.21,151.15,151.15,31905,575,151.168968
2021-11-08 14:05:00+00:00,151.15,151.29,151.15,151.29,19525,681,151.222101
2021-11-08 14:10:00+00:00,151.29,151.4,151.25,151.4,35238,801,151.309518
2021-11-08 14:15:00+00:00,151.39,151.53,151.39,151.51,49431,877,151.473323
2021-11-08 14:20:00+00:00,151.53,151.65,151.5,151.64,45256,808,151.590088
2021-11-08 14:25:00+00:00,151.63,151.63,151.34,151.4,41942,817,151.404943
2021-11-08 14:30:00+00:00,151.4,151.57,151.01,151.13,2267282,21337,151.330726
2021-11-08 14:35:00+00:00,151.12,151.14,150.75,150.8001,1542204,14970,150.9162
2021-11-08 14:40:00+00:00,150.81,151.1811,150.7,150.8019,1400836,12382,150.903891
2021-11-08 14:45:00+00:00,150.805,151.11,150.785,151.07,1065824,9893,150.962472
2021-11-08 14:50:00+00:00,151.07,151.0799,150.73,150.83,972244,9367,150.887647
