Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-10-26 08:00:00+00:00,148.87,149.21,148.65,149.21,11911,267,149.056209
2021-10-26 08:05:00+00:00,149.21,149.23,149.13,149.23,5014,77,149.197202
2021-10-26 08:10:00+00:00,149.22,149.22,149.12,149.15,2648,71,149.165257
2021-10-26 08:15:00+00:00,149.22,149.46,149.22,149.45,13890,107,149.35089
2021-10-26 08:20:00+00:00,149.45,149.48,149.4,149.4,3825,64,149.439556
2021-10-26 08:25:00+00:00,149.4,149.44,149.31,149.31,3880,110,149.387031
2021-10-26 08:30:00+00:00,149.22,149.22,149.22,149.22,226,8,149.227743
2021-10-26 08:35:00+00:00,149.22,149.34,149.22,149.34,2769,78,149.297122
2021-10-26 08:40:00+00:00,149.35,149.36,149.35,149.36,1187,40,149.344591
2021-10-26 08:45:00+00:00,149.37,149.37,149.32,149.32,1063,31,149.334168
2021-10-26 08:50:00+00:00,149.28,149.28,149.19,149.21,5119,94,149.250912
2021-10-26 08:55:00+00:00,149.2,149.2,149.15,149.15,1272,32,149.177948
2021-10-26 09:00:00+00:00,149.13,149.15,148.82,148.9,16332,171,149.10579
2021-10-26 09:05:00+00:00,149.1,149.1,149.1,149.1,664,16,149.097681
2021-10-26 09:10:00+00:00,149.1,149.1,149.09,149.09,1069,33,149.098943
2021-10-26 09:15:00+00:00,149.07,149.07,149.07,149.07,210,5,149.077333
2021-10-26 09:20:00+00:00,149.07,149.07,149.07,149.07,373,19,149.082949
2021-10-26 09:25:00+00:00,149.08,149.08,149.08,149.08,121,3,149.08
2021-10-26 09:30:00+00:00,149.08,149.08,149.08,149.08,874,19,149.080138
2021-10-26 09:35:00+00:00,149.08,149.1,149.08,149.1,1358,12,149.084227
2021-10-26 09:40:00+00:00,149.1,149.1,149.08,149.1,2639,67,149.096173
2021-10-26 09:45:00+00:00,149.1,149.1,149.1,149.1,887,25,149.099977
2021-10-26 09:50:00+00:00,149.1,149.1,149.09,149.09,2044,40,149.097353
2021-10-26 09:55:00+00:00,149.1,149.14,149.08,149.08,5861,58,149.093141
2021-10-26 10:10:00+00:00,149.12,149.12,149.09,149.09,1911,59,149.102758
2021-10-26 10:15:00+00:00,149.1,149.1,149.09,149.09,1052,27,149.098831
2021-10-26 10:20:00+00:00,149.09,149.09,148.98,148.98,9082,197,149.046597
2021-10-26 10:25:00+00:00,148.97,148.97,148.85,148.85,2899,64,148.892691
2021-10-26 10:30:00+00:00,148.9,148.9,148.87,148.9,1292,30,148.88983
2021-10-26 10:35:00+00:00,148.9,148.9,148.9,148.9,1652,36,148.89974
2021-10-26 10:40:00+00:00,148.89,148.9,148.81,148.82,4045,75,148.827735
2021-10-26 10:45:00+00:00,148.82,148.82,148.81,148.81,1731,38,148.820173
2021-10-26 10:50:00+00:00,148.9,148.9,148.83,148.83,4518,28,148.838948
2021-10-26 11:00:00+00:00,148.85,148.9,148.84,148.85,15906,217,148.878928
2021-10-26 11:05:00+00:00,148.87,148.9,148.87,148.9,3324,81,148.892939
2021-10-26 11:10:00+00:00,148.9,148.92,148.89,148.92,8077,120,148.901522
2021-10-26 11:15:00+00:00,148.93,149.06,148.93,149.06,13517,187,149.017615
2021-10-26 11:20:00+00:00,149.05,149.08,149.04,149.05,3486,98,149.062418
2021-10-26 11:25:00+00:00,149.04,149.08,149.02,149.07,7842,117,149.049968
2021-10-26 11:30:00+00:00,149.05,149.11,149.05,149.09,7742,124,149.0809
2021-10-26 11:35:00+00:00,149.09,149.09,149.05,149.07,2080,74,149.069538
2021-10-26 11:40:00+00:00,149.05,149.05,149.0,149.04,14633,208,149.01541
2021-10-26 11:45:00+00:00,149.06,149.08,149.02,149.02,7101,110,149.043773
2021-10-26 11:50:00+00:00,149.05,149.06,148.96,149.02,14166,209,149.007228
2021-10-26 11:55:00+00:00,149.02,149.11,149.02,149.09,5280,100,149.074379
2021-10-26 12:00:00+00:00,149.07,149.09,148.269,149.02,12534,128,148.852399
2021-10-26 12:05:00+00:00,149.02,149.025,148.97,149.01,13216,206,148.998761
2021-10-26 12:10:00+00:00,149.03,149.13,149.03,149.13,6942,146,149.088575
2021-10-26 12:15:00+00:00,149.13,149.15,149.11,149.15,6496,130,149.134591
2021-10-26 12:20:00+00:00,149.15,149.15,149.02,149.09,24875,233,149.098969
2021-10-26 12:25:00+00:00,149.07,149.07,148.95,149.06,17989,243,149.026943
2021-10-26 12:30:00+00:00,149.05,149.1,149.05,149.1,8802,117,149.079856
2021-10-26 12:35:00+00:00,149.07,149.08,149.0,149.02,14875,185,149.024908
2021-10-26 12:40:00+00:00,149.01,149.08,148.97,149.07,15581,244,149.023194
2021-10-26 12:45:00+00:00,149.05,149.13,149.05,149.09,7727,137,149.083066
2021-10-26 12:50:00+00:00,149.11,149.11,149.03,149.07,19293,175,149.052748
