Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-22 09:15:00+00:00,161.05,161.08,161.05,161.05,3458,99,161.054852
2021-11-22 09:20:00+00:00,161.05,161.1,161.05,161.1,1584,104,161.064476
2021-11-22 09:25:00+00:00,161.1,161.2,161.1,161.19,8263,187,161.153093
2021-11-22 09:30:00+00:00,161.19,161.19,161.1,161.12,3993,233,161.149372
2021-11-22 09:35:00+00:00,161.12,161.17,161.12,161.12,5010,165,161.150912
2021-11-22 09:40:00+00:00,161.12,161.15,161.12,161.12,3204,118,161.124791
2021-11-22 09:45:00+00:00,161.15,161.15,161.12,161.13,8002,140,161.124353
2021-11-22 09:50:00+00:00,161.12,161.16,161.12,161.15,2135,90,161.147073
2021-11-22 09:55:00+00:00,161.15,161.17,161.15,161.15,3476,173,161.166142
2021-11-22 10:00:00+00:00,161.19,161.2,161.19,161.19,1264,71,161.16049
2021-11-22 10:05:00+00:00,161.16,161.16,161.12,161.13,7059,193,161.146058
2021-11-22 10:10:00+00:00,161.13,161.13,161.12,161.13,4474,104,161.12673
2021-11-22 10:15:00+00:00,161.16,161.16,161.13,161.16,666,40,161.153619
2021-11-22 10:20:00+00:00,161.16,161.2,161.13,161.13,4583,138,161.175174
2021-11-22 10:25:00+00:00,161.17,161.17,161.12,161.13,5334,172,161.131016
2021-11-22 10:30:00+00:00,161.13,161.15,161.13,161.13,1614,73,161.137992
2021-11-22 10:40:00+00:00,161.17,161.17,161.1,161.13,3501,146,161.133648
2021-11-22 10:45:00+00:00,161.15,161.15,161.12,161.12,7622,102,161.124057
2021-11-22 10:50:00+00:00,161.12,161.13,160.9,160.95,18572,439,161.016452
2021-11-22 10:55:00+00:00,161,161,160.95,160.97,1144,57,160.96993
2021-11-22 11:00:00+00:00,161,161.02,160.99,161.02,2098,86,161.001125
2021-11-22 11:10:00+00:00,161.07,161.07,161.06,161.06,282,20,161.070922
2021-11-22 11:15:00+00:00,161.09,161.09,160.98,161,8061,148,161.025894
2021-11-22 11:20:00+00:00,161.02,161.03,161.02,161.03,465,30,161.029097
2021-11-22 11:25:00+00:00,161.04,161.07,161.04,161.04,3962,120,161.054848
2021-11-22 11:30:00+00:00,161.01,161.05,161.01,161.04,5589,108,161.034654
2021-11-22 11:35:00+00:00,161.05,161.07,161.04,161.04,5929,120,161.048119
2021-11-22 11:40:00+00:00,161.07,161.07,161.03,161.04,1151,68,161.052259
2021-11-22 11:45:00+00:00,161.04,161.04,161.04,161.04,5451,102,161.040126
2021-11-22 11:50:00+00:00,161.04,161.07,161.04,161.07,2287,78,161.042536
2021-11-22 11:55:00+00:00,161.07,161.11,161.04,161.11,6793,147,161.095197
2021-11-22 12:00:00+00:00,161.07,161.45,161.06,161.36,35740,619,161.226309
2021-11-22 12:05:00+00:00,161.32,161.38,161.26,161.33,13593,192,161.321698
2021-11-22 12:10:00+00:00,161.37,161.4,161.25,161.28,35798,389,161.333624
2021-11-22 12:15:00+00:00,161.26,161.31,161.21,161.23,17802,329,161.260806
2021-11-22 12:20:00+00:00,161.23,161.27,161.2,161.23,10168,186,161.248648
2021-11-22 12:25:00+00:00,161.25,161.32,161.25,161.32,9616,100,161.264066
2021-11-22 12:30:00+00:00,161.3,161.39,161.25,161.34,19401,366,161.330341
2021-11-22 12:35:00+00:00,161.38,161.39,161.37,161.38,8061,202,161.384694
2021-11-22 12:40:00+00:00,161.38,161.51,161.38,161.5,26775,472,161.469023
2021-11-22 12:45:00+00:00,161.51,161.67,161.5,161.53,18205,339,161.565154
2021-11-22 12:50:00+00:00,161.53,161.59,161.451,161.52,24560,381,161.497676
2021-11-22 12:55:00+00:00,161.49,161.54,161.47,161.5,18544,364,161.50335
2021-11-22 13:00:00+00:00,161.47,161.49,161.32,161.37,36257,495,161.412682
2021-11-22 13:05:00+00:00,161.389,161.44,161.3701,161.42,25888,316,161.422202
2021-11-22 13:10:00+00:00,161.42,161.46,161.4,161.4,26368,409,161.433561
2021-11-22 13:15:00+00:00,161.4,161.4,161.32,161.3799,15925,246,161.35663
2021-11-22 13:20:00+00:00,161.3785,161.38,161.33,161.35,17836,318,161.362804
2021-11-22 13:25:00+00:00,161.34,161.39,161.32,161.39,31578,255,161.356791
2021-11-22 13:30:00+00:00,161.39,161.53,161.37,161.51,3363672,426,160.560136
2021-11-22 13:35:00+00:00,161.52,161.55,161.48,161.55,32900,409,161.509542
2021-11-22 13:40:00+00:00,161.54,161.59,161.48,161.58,32126,491,161.530767
2021-11-22 13:45:00+00:00,161.6,161.66,161.5,161.51,30664,580,161.599241
2021-11-22 13:50:00+00:00,161.51,161.56,161.47,161.55,25089,409,161.507168
2021-11-22 13:55:00+00:00,161.55,161.75,161.55,161.72,71918,789,161.684917
2021-11-22 14:00:00+00:00,161.69,161.85,161.51,161.77,178936,2669,161.711682
2021-11-22 14:05:00+00:00,161.77,161.78,161.62,161.67,78652,1565,161.70726
2021-11-22 14:10:00+00:00,161.71,161.74,161.66,161.7,33718,955,161.699385
2021-11-22 14:15:00+00:00,161.7,161.7,161.57,161.65,54918,1131,161.620744
2021-11-22 14:20:00+00:00,161.62,161.65,161.46,161.48,72251,1220,161.523674
2021-11-22 14:25:00+00:00,161.5,161.82,161.49,161.65,100161,1333,161.689294
2021-11-22 14:30:00+00:00,161.68,163.06,161.63,162.7601,5371923,42128,162.320156
2021-11-22 14:35:00+00:00,162.78,163.31,162.48,163.024,2825382,23693,162.932835
2021-11-22 14:40:00+00:00,163.03,163.69,162.971,163.69,2462107,19720,163.266586
2021-11-22 14:45:00+00:00,163.69,163.77,163.22,163.555,2206405,18210,163.514535
2021-11-22 14:50:00+00:00,163.56,164.1,163.49,164.09,2748280,21341,163.750646
2021-11-22 14:55:00+00:00,164.08,164.78,164.06,164.69,3395481,24428,164.466405
2021-11-22 15:00:00+00:00,164.67,165.25,164.67,165.0217,4696203,31776,164.994242
2021-11-22 15:05:00+00:00,165.02,165.22,164.64,165.05,3186930,22322,164.918087
2021-11-22 15:10:00+00:00,165.0563,165.34,164.9,165.26,2264310,18684,165.156023
2021-11-22 15:15:00+00:00,165.26,165.7,165.25,165.6,2472326,19617,165.484269
2021-11-22 15:20:00+00:00,165.59,165.7,165.2773,165.2773,1941419,16386,165.522294
2021-11-22 15:25:00+00:00,165.28,165.4019,165.175,165.3025,2269787,15378,165.323167
